"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2992","Deve exibir erro ao omitir o sobrenome no checkout","","2026-03-06","passed","2026-03-06","","Fluxo de Checkout - Negativo","",""
"","1020","Deve permitir retornar à vitrine a partir da página de detalhes do produto","","2026-03-06","passed","2026-03-06","","Fluxo de Carrinho","",""
"","153","Deve exibir erro ao enviar campos vazios","","2026-03-06","passed","2026-03-06","","Login sem sucesso","",""
"","1396","Deve limpar o carrinho ao clicar em Reset App State","","2026-03-06","passed","2026-03-06","","Fluxo de Carrinho","",""
"","865","Deve exibir erro para usuário bloqueado","","2026-03-06","passed","2026-03-06","","Login sem sucesso","",""
"","71","Deve validar se a página inicial está respondendo com status 200","","2026-03-06","passed","2026-03-06","","Verificar Saúde da aplicação- SauceDemo","",""
"","2600","Deve finalizar compra com sucesso","","2026-03-06","passed","2026-03-06","","Fluxo de compra","",""
"","1079","Deve remover um produto diretamente de dentro da página do carrinho","","2026-03-06","passed","2026-03-06","","Fluxo de Carrinho","",""
"","2611","Deve manter o produto no carrinho após fazer logout e login novamente","","2026-03-06","passed","2026-03-06","","Fluxo de Carrinho","",""
"","1131","Deve realizar login com sucesso","","2026-03-06","passed","2026-03-06","","Login com sucesso","",""
"","2067","Deve finalizar compra com múltiplos produtos no carrinho","","2026-03-06","passed","2026-03-06","","Fluxo de compra","",""
"","1028","Deve validar se o produto adicionado corresponde ao item no carrinho","","2026-03-06","passed","2026-03-06","","Fluxo de Carrinho","",""
"","2365","Deve validar se a soma dos preços e taxas está correta de forma dinâmica","","2026-03-06","passed","2026-03-06","","Validação de Valores no Checkout","",""
"","932","Deve exibir erro ao informar senha inválida","","2026-03-06","passed","2026-03-06","","Login sem sucesso","",""
"","500","Deve exibir erro ao tentar logar sem informar a senha","","2026-03-06","passed","2026-03-06","","Login sem sucesso","",""
"","840","Deve exibir erro ao tentar logar sem informar o username","","2026-03-06","passed","2026-03-06","","Login sem sucesso","",""
"","83","Deve validar o carregamento dos assets principais (manifest e CSS dinâmico)","","2026-03-06","passed","2026-03-06","","Verificar Saúde da aplicação- SauceDemo","",""
